portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
Max_Sharpe,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.17862078769752823,Obligations corporate
Max_Return,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.028663436860734,Obligations corporate
Mean_CVaR_95,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.02866365776872361,Obligations corporate
Risk_Parity,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.02866652202495905,Obligations corporate
MeanVariance_TurnoverPenalty,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.02866343702187312,Obligations corporate
MultiCriteria_Recommended_Portfolio,EO ADVANS 2022-1,Obligations corporate,TNHFN9X6ARP3,0.02866365776872361,Obligations corporate
Current_Portfolio,ENNAKL,Actions cotées,ENNAKL,0.027201435798298826,Actions cotées
Minimum_Variance,ENNAKL,Actions cotées,ENNAKL,0.026276747244038275,Actions cotées
Mean_Variance_lambda_2,ENNAKL,Actions cotées,ENNAKL,0.0,Actions cotées
Mean_Variance_lambda_5,ENNAKL,Actions cotées,ENNAKL,8.29197920750339e-11,Actions cotées
Mean_Variance_lambda_10,ENNAKL,Actions cotées,ENNAKL,7.669548548501065e-09,Actions cotées
Mean_Variance_lambda_20,ENNAKL,Actions cotées,ENNAKL,0.008578407291515188,Actions cotées
Max_Sharpe,ENNAKL,Actions cotées,ENNAKL,0.025210910433882544,Actions cotées
Max_Return,ENNAKL,Actions cotées,ENNAKL,2.2564336700030075e-10,Actions cotées
Mean_CVaR_95,ENNAKL,Actions cotées,ENNAKL,0.0020269646619568535,Actions cotées
Risk_Parity,ENNAKL,Actions cotées,ENNAKL,0.024368207036070254,Actions cotées
MeanVariance_TurnoverPenalty,ENNAKL,Actions cotées,ENNAKL,0.027201435750670282,Actions cotées
MultiCriteria_Recommended_Portfolio,ENNAKL,Actions cotées,ENNAKL,0.0020269646619568535,Actions cotées
Current_Portfolio,AMEN BANK,Actions cotées,AMEN_BANK,0.021284820422600416,Actions cotées
Minimum_Variance,AMEN BANK,Actions cotées,AMEN_BANK,0.02128481390039393,Actions cotées
Mean_Variance_lambda_2,AMEN BANK,Actions cotées,AMEN_BANK,0.02128482342366717,Actions cotées
Mean_Variance_lambda_5,AMEN BANK,Actions cotées,AMEN_BANK,0.02128482207279467,Actions cotées
Mean_Variance_lambda_10,AMEN BANK,Actions cotées,AMEN_BANK,0.021285060470927344,Actions cotées
Mean_Variance_lambda_20,AMEN BANK,Actions cotées,AMEN_BANK,0.021284831557419073,Actions cotées
Max_Sharpe,AMEN BANK,Actions cotées,AMEN_BANK,0.02128481091058667,Actions cotées
Max_Return,AMEN BANK,Actions cotées,AMEN_BANK,0.021284820668965723,Actions cotées
Mean_CVaR_95,AMEN BANK,Actions cotées,AMEN_BANK,0.02128481868668142,Actions cotées
Risk_Parity,AMEN BANK,Actions cotées,AMEN_BANK,0.021327205333351553,Actions cotées
MeanVariance_TurnoverPenalty,AMEN BANK,Actions cotées,AMEN_BANK,0.021284820465493726,Actions cotées
