asset_id,asset_name,asset_class,asset_type,issuer,current_weight_optimisable,portfolio_name,current_weight,optimized_weight,weight_change,optimized_value,quality_flag
DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,DELICE_HOLDING,0.004255307214908,Mean_Variance_lambda_10,0.004255307214908,0.0240677504812785,0.019812443266370498,7963173.87810254,OK
ENNAKL,ENNAKL,Actions cotées,listed_equity,ENNAKL,0.0272014357982988,Mean_Variance_lambda_10,0.0272014357982988,7.669548548501065e-09,-0.027201428128750253,2.5375844205203277,OK
PGH,PGH,Actions cotées,listed_equity,PGH,0.0448589559037577,Mean_Variance_lambda_10,0.0448589559037577,0.03882790703450538,-0.00603104886925232,12846791.613494512,OK
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,BTA_7_4_02_2030,0.0981089183612434,Mean_Variance_lambda_20,0.0981089183612434,0.09810892159796417,3.236720766408574e-09,32460798.622847337,OK
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,BTA_7_5_12_2028,0.06829597420544,Mean_Variance_lambda_20,0.06829597420544,0.06829597713668689,2.931246897985851e-09,22596741.7078467,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,0.0874174259055424,Mean_Variance_lambda_20,0.0874174259055424,0.0874174287214395,2.815897098829012e-09,28923358.891681485,OK
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.0438495478974024,Mean_Variance_lambda_20,0.0438495478974024,0.04384955097669565,3.0792932509404736e-09,14508277.338830035,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.0496837556199316,Mean_Variance_lambda_20,0.0496837556199316,0.0496837590707177,3.4507860943722157e-09,16438612.021743985,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,TN0007310568,0.0099706592583008,Mean_Variance_lambda_20,0.0099706592583008,0.009970675210214714,1.5951913913056504e-08,3298946.4654283994,OK
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,TN0003100872,0.0190339210105056,Mean_Variance_lambda_20,0.0190339210105056,0.01903393100181317,9.991307572954078e-09,6297659.694832984,OK
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,TNHFN9X6ARP3,0.0286634369917476,Mean_Variance_lambda_20,0.0286634369917476,0.028663444329593092,7.337845490951178e-09,9483727.667835502,OK
