portfolio_name,asset_id,asset_name,asset_class,asset_type,weight,marginal_risk_contribution,risk_contribution,risk_contribution_pct
Mean_Variance_lambda_5,ENNAKL,ENNAKL,Actions cotées,listed_equity,8.29197920750339e-11,-0.022275064779272106,-1.847043739955154e-12,-6.299230774009871e-11
Mean_Variance_lambda_5,PGH,PGH,Actions cotées,listed_equity,0.0388279054642219,0.12063851928728218,0.004684141022230303,0.15974979172800527
Mean_Variance_lambda_10,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810892319239843,0.00017312379757849605,1.6984989359405e-05,0.0006162906454176432
Mean_Variance_lambda_10,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597843715456,0.00047191708977276016,3.223003938724516e-05,0.0011694485851887046
Mean_Variance_lambda_10,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.08741742990803494,-2.022571041948664e-05,-1.7680796229356854e-06,-6.415376005905182e-05
Mean_Variance_lambda_10,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384955249645197,-1.7805587379887133e-05,-7.807670385445236e-07,-2.8329686402716854e-05
Mean_Variance_lambda_10,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.049683760782531075,-0.00032313410597019485,-1.6054517621700208e-05,-0.0005825290094437334
Mean_Variance_lambda_10,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.00997069292592211,-0.00027724213696711406,-2.7642962138255328e-06,-0.00010030091050959385
Mean_Variance_lambda_10,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.019033938639443616,-0.0003207526715856233,-6.105186669398364e-06,-0.0002215232140133949
Mean_Variance_lambda_10,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663703825437037,-0.0002664460863897883,-7.637331705723703e-06,-0.0002771162222473111
Mean_Variance_lambda_10,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.008434851124838626,0.00011349054915085265,9.572758861636227e-07,3.473420920336639e-05
Mean_Variance_lambda_10,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.29999999953528544,0.00023433975694983267,7.03019269760487e-05,0.0025508652983748962
Mean_Variance_lambda_10,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.009783045878976021,6.753153858158398e-05,6.606641402214753e-07,2.397182128088472e-05
Mean_Variance_lambda_10,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.006174387799667614,0.00030326318489899413,1.8724645089286931e-06,6.794130607390146e-05
Mean_Variance_lambda_10,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.032036186949692125,0.00020889094713911436,6.692069434646923e-06,0.00024281792021109107
Mean_Variance_lambda_10,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.021285060470927344,0.05404732698022464,0.0011504006230660644,0.04174163006382242
Mean_Variance_lambda_10,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.01626901041678717,0.10946134641959772,0.0017808277851359845,0.06461631984899721
Mean_Variance_lambda_10,BIAT,BIAT,Actions cotées,listed_equity,0.023014290780162757,0.05221806213129956,0.0012017616658663334,0.04360523618961453
Mean_Variance_lambda_10,BT,BT,Actions cotées,listed_equity,0.06933266829397487,0.172982629731633,0.011993347287802786,0.43517176162522164
Mean_Variance_lambda_10,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.04575085335698177,0.08244498852193943,0.0037719285798852964,0.1368622758470893
Mean_Variance_lambda_10,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.0240677504812785,0.10852014642238177,0.0026118358062856917,0.09476897163255608
Mean_Variance_lambda_10,ENNAKL,ENNAKL,Actions cotées,listed_equity,7.669548548501065e-09,-0.022831382579961954,-1.751063971264197e-10,-6.353635684913949e-09
Mean_Variance_lambda_10,PGH,PGH,Actions cotées,listed_equity,0.03882790703450538,0.12762316238275287,0.0049553402844471125,0.1798016941632597
Mean_Variance_lambda_20,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810892159796417,0.0003957482838255185,3.882643735036667e-05,0.0024085034076361763
Mean_Variance_lambda_20,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597713668689,0.0005857473459544575,4.000418734718066e-05,0.0024815622581063498
Mean_Variance_lambda_20,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.0874174287214395,3.7202064198548833e-06,3.2521087953670585e-07,2.0173664261192304e-05
Mean_Variance_lambda_20,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384955097669565,0.00011140174401380438,4.884916453026115e-06,0.000303023885940447
Mean_Variance_lambda_20,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.0496837590707177,-0.00013890830223551491,-6.901486621191759e-06,-0.0004281169012468989
Mean_Variance_lambda_20,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.009970675210214714,-0.00028797082064351345,-2.871263522655467e-06,-0.00017811183437029503
Mean_Variance_lambda_20,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.01903393100181317,-0.00031700875538961026,-6.033922777056511e-06,-0.0003742996927277157
Mean_Variance_lambda_20,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663444329593092,-0.00024558856332971386,-7.039414112986001e-06,-0.0004366728970235756
Mean_Variance_lambda_20,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.00843480367501645,0.00011442016372373073,9.651116174729078e-07,5.986834688068048e-05
Mean_Variance_lambda_20,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.2999999992278951,0.0003578465426541136,0.00010735396251993901,0.006659441406361165
Mean_Variance_lambda_20,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.009782979213093712,9.0456143517655e-05,8.849305717298404e-07,5.4894511136820085e-05
Mean_Variance_lambda_20,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.006174363854166416,0.0003243062512378898,2.002384795323439e-06,0.0001242130602768226
Mean_Variance_lambda_20,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.12167107964681685,0.0005352217348905822,6.512100633457952e-05,0.004039622905655304
Mean_Variance_lambda_20,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.021284831557419073,0.06162685675579594,0.0013117172654603102,0.08136918345629589
Mean_Variance_lambda_20,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.016268998966051752,0.1155495260748934,0.0018798751202402106,0.11661347118128662
Mean_Variance_lambda_20,BIAT,BIAT,Actions cotées,listed_equity,0.007222395416073141,0.046352852862313144,0.0003347786320346832,0.020767176467497796
Mean_Variance_lambda_20,BT,BT,Actions cotées,listed_equity,0.031692022863068284,0.1495639831662005,0.004739985173994787,0.2940334272931582
Mean_Variance_lambda_20,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.02257235993522098,0.07217151761283176,0.001629081472627979,0.10105609852211675
Mean_Variance_lambda_20,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.011044555653014449,0.09446082547018077,0.0010432778439350963,0.06471719822125974
Mean_Variance_lambda_20,ENNAKL,ENNAKL,Actions cotées,listed_equity,0.008578407291515188,0.0019460035401875557,1.6693610958459298e-05,0.001035547467731343
Mean_Variance_lambda_20,PGH,PGH,Actions cotées,listed_equity,0.030249514655523717,0.16289962158088456,0.004927634490390235,0.30567379526976746
Max_Return,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.0981089100800685,3.954797031063295e-05,3.880008263055106e-06,0.00011070155881386505
Max_Return,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597219709824,0.0003336818331848795,2.2789125201871302e-05,0.0006502026575234796
Max_Return,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.0813864018405517,-4.723431332498429e-05,-3.8442308049296965e-06,-0.00010968078253805319
Max_Return,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384953850972766,-9.731915743073077e-05,-4.267400141493078e-06,-0.00012175434063993965
Max_Return,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.049683749405772935,-0.00038519997206426515,-1.9138178883151685e-05,-0.0005460365266220559
Max_Return,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.009970658998411252,-0.00026660907621730266,-2.65826818484416e-06,-7.584376420266726e-05
Max_Return,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.019033920601099708,-0.0002913159775115973,-5.544885185787492e-06,-0.0001582026098643556
Max_Return,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663436860734,-0.00027170638862628613,-7.788038915047607e-06,-0.00022220263193974742
Max_Return,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.008434788592747645,5.6453011599598435e-05,4.7616921826654335e-07,1.3585711974690512e-05
Max_Return,TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,0.29999999972297353,0.0001287075618331273,3.8612268514282785e-05,0.0011016570130974272
Max_Return,TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,0.009782964535321815,6.322411520483303e-06,6.185192768259822e-08,1.7647139763343405e-06
Max_Return,TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,0.00617435023099535,0.00023920465462604632,1.476933314545492e-06,4.21387814405261e-05
Max_Return,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.03203475463008445,5.446214629451465e-05,1.7446814931725399e-06,4.977797670354052e-05
Max_Return,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.021284820668965723,0.04930374569707444,0.00104942138547052,0.029941323664274513
Max_Return,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.016268994847226482,0.0999405372612358,0.0016259320857320916,0.04638990543651454
Max_Return,BIAT,BIAT,Actions cotées,listed_equity,0.006709687516084041,0.0418109642951001,0.0002805385051662687,0.008004119507921884
Max_Return,BT,BT,Actions cotées,listed_equity,0.0789337407810912,0.15587287326842,0.012303628973373344,0.3510381458176083
Max_Return,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.0010673905032235443,0.016791157694976275,1.7922722261746615e-05,0.000511358007006165
Max_Return,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.07545696413745787,0.19223089613542968,0.014505159835802505,0.41385061468999207
Max_Return,ENNAKL,ENNAKL,Actions cotées,listed_equity,2.2564336700030075e-10,-0.021098708900302094,-4.760783715623377e-12,-1.3583120002950549e-10
Max_Return,PGH,PGH,Actions cotées,listed_equity,0.04485895511472091,0.11682976961791522,0.0052408613913532435,0.14952842525479068
MeanVariance_TurnoverPenalty,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810891837702879,-4.437242134705307e-05,-4.353330264129159e-06,-0.00015792499039550098
MeanVariance_TurnoverPenalty,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829597422039141,0.00023509010435608465,1.6055707706572284e-05,0.0005824500627132227
