requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-05-21,Current_Portfolio,536723384.4289705,119419084.62559493,55882051.374936715,183254567.2976837,OK,STATE_MIN_20_PT,67186275.75848092
2025-05-22,Current_Portfolio,536734353.8380642,119444731.5391133,55828335.422527045,183293605.74566877,OK,STATE_MIN_20_PT,67211922.67199929
2025-05-26,Current_Portfolio,537955244.7306577,120010255.39928226,56072867.67283012,183704440.52779013,OK,STATE_MIN_20_PT,67777446.53216825
2025-05-27,Current_Portfolio,537869733.3608416,120040112.34752002,55907650.43390071,183754289.44866586,OK,STATE_MIN_20_PT,67807303.48040602
2025-05-28,Current_Portfolio,538510472.5777621,120071246.64920463,56465376.82012254,183806167.97767982,OK,STATE_MIN_20_PT,67838437.78209062
2025-05-29,Current_Portfolio,538393107.5278593,120104282.09394658,56263228.86848724,183857915.43467042,OK,STATE_MIN_20_PT,67871473.22683257
2025-05-30,Current_Portfolio,539042686.3410711,120134506.21260026,56802830.13288069,183937668.86483505,OK,STATE_MIN_20_PT,67901697.34548625
2025-06-02,Current_Portfolio,539483795.543261,120224315.4313147,57005830.12591685,184085968.8552744,OK,STATE_MIN_20_PT,67991506.5642007
2025-06-03,Current_Portfolio,538169933.3917689,120254663.78485921,55608714.36193282,184138874.11422172,OK,STATE_MIN_20_PT,68021854.9177452
2025-06-04,Current_Portfolio,538991590.593186,120423498.82786316,56122532.14558752,184277878.48898023,OK,STATE_MIN_20_PT,68190689.96074915
2025-06-05,Current_Portfolio,539059012.1281714,120448416.17743903,56107738.57230042,184335176.2476768,OK,STATE_MIN_20_PT,68215607.31032503
2025-06-09,Current_Portfolio,539016023.6191183,120519871.5241816,55825233.78235683,184503237.1818247,OK,STATE_MIN_20_PT,68287062.6570676
2025-06-10,Current_Portfolio,538780315.2091813,120526634.62718122,55552424.798237324,184533574.65300757,OK,STATE_MIN_20_PT,68293825.76006721
2025-06-11,Current_Portfolio,539411459.4058332,120570888.46946856,56053487.736095786,184619402.0695138,OK,STATE_MIN_20_PT,68338079.60235456
2025-06-12,Current_Portfolio,539280103.4770708,120658216.74734896,55734719.86315084,184719485.73581597,OK,STATE_MIN_20_PT,68425407.88023496
2025-06-13,Current_Portfolio,538818709.5052769,120677197.35145962,55241214.17324903,184732616.84981316,OK,STATE_MIN_20_PT,68444388.48434561
2025-06-16,Current_Portfolio,538592161.8604591,120772086.24597116,54783743.344427794,184868651.13930508,OK,STATE_MIN_20_PT,68539277.37885715
2025-06-17,Current_Portfolio,538131554.3464189,120802568.6713919,54242280.96615028,184919023.57812145,OK,STATE_MIN_20_PT,68569759.8042779
2025-06-18,Current_Portfolio,538605079.5617964,120831300.54771036,54637238.53272904,184968859.350602,OK,STATE_MIN_20_PT,68598491.68059635
2025-06-19,Current_Portfolio,538860272.3321499,120893809.32523277,54749245.05393806,185049536.8222239,OK,STATE_MIN_20_PT,68661000.45811877
2025-06-20,Current_Portfolio,538757259.0280337,120930519.84328902,54565092.08572137,185093965.96826828,OK,STATE_MIN_20_PT,68697710.97617501
2025-06-23,Current_Portfolio,539179740.737299,121045435.06623009,54707391.0669013,185259233.47341242,OK,STATE_MIN_20_PT,68812626.19911608
2025-06-24,Current_Portfolio,539345869.2403858,121075598.95087495,54796412.55514473,185306176.60361084,OK,STATE_MIN_20_PT,68842790.08376095
2025-06-25,Current_Portfolio,540244315.1791487,121104425.68852532,55617109.19748452,185355099.1623837,OK,STATE_MIN_20_PT,68871616.82141131
2025-06-27,Current_Portfolio,540605780.1567078,121130471.83780001,55900946.85800251,185406680.33015013,OK,STATE_MIN_20_PT,68897662.970686
2025-06-30,Current_Portfolio,541133319.5306127,121226144.2525421,56180183.95441046,185559310.192905,OK,STATE_MIN_20_PT,68993335.38542809
2025-07-01,Current_Portfolio,541366597.1560029,121256822.10651247,56332250.247895315,185609843.67083988,OK,STATE_MIN_20_PT,69024013.23939846
2025-07-02,Current_Portfolio,541584806.5551323,121264196.39035241,56522608.98949301,185630320.0445317,OK,STATE_MIN_20_PT,69031387.5232384
2025-07-03,Current_Portfolio,542530653.7711746,121299149.53395337,57379230.38419041,185684592.72227567,OK,STATE_MIN_20_PT,69066340.66683936
2025-07-04,Current_Portfolio,543001028.0004675,121329688.43556921,57768610.41223616,185735048.02190697,OK,STATE_MIN_20_PT,69096879.5684552
2025-07-07,Current_Portfolio,543444071.5301912,121421315.74483056,57968690.56018579,185886384.09441978,OK,STATE_MIN_20_PT,69188506.87771656
2025-07-08,Current_Portfolio,543726445.9306945,121451861.77807698,58170083.37460762,185936819.64725477,OK,STATE_MIN_20_PT,69219052.91096297
2025-07-09,Current_Portfolio,544001393.643827,121517669.17900176,58321711.89025565,185994331.4438145,OK,STATE_MIN_20_PT,69284860.31188776
2025-07-10,Current_Portfolio,543942863.3221023,121566116.93205261,58130964.425032005,186078100.83426246,OK,STATE_MIN_20_PT,69333308.0649386
2025-07-11,Current_Portfolio,544023359.1099834,121592547.17298609,58139684.59295302,186123446.2132893,OK,STATE_MIN_20_PT,69359738.30587208
2025-07-14,Current_Portfolio,543842217.8188212,121680487.95946848,57735084.78974162,186258963.93885595,OK,STATE_MIN_20_PT,69447679.09235448
2025-07-15,Current_Portfolio,543789678.4163783,121700324.79532151,57630879.67764314,186290792.8126585,OK,STATE_MIN_20_PT,69467515.9282075
2025-07-16,Current_Portfolio,544218548.8677899,121732071.18344733,57976308.5361195,186342488.01746792,OK,STATE_MIN_20_PT,69499262.31633332
2025-07-17,Current_Portfolio,544337847.2330995,121762586.67267206,58014740.06953642,186392839.36013588,OK,STATE_MIN_20_PT,69529777.80555806
2025-07-18,Current_Portfolio,544327641.014625,121794994.91698366,57919618.845594734,186445346.12129137,OK,STATE_MIN_20_PT,69562186.04986966
2025-07-21,Current_Portfolio,544660164.7389671,121886514.41182275,58008210.57738456,186597758.6190047,OK,STATE_MIN_20_PT,69653705.54470874
2025-07-22,Current_Portfolio,545687331.9848001,121922211.79136282,58931815.64764884,186665623.41503322,OK,STATE_MIN_20_PT,69689402.92424881
2025-07-23,Current_Portfolio,545875435.0299941,121971293.68981834,59009962.75139768,186726497.45802292,OK,STATE_MIN_20_PT,69738484.82270433
2025-07-24,Current_Portfolio,545990560.3184195,122001809.53433295,59044292.8638019,186776776.78952935,OK,STATE_MIN_20_PT,69769000.66721894
2025-07-28,Current_Portfolio,545379504.4476528,122124222.16190475,58107049.963721246,186980551.1912716,OK,STATE_MIN_20_PT,69891413.29479074
2025-07-29,Current_Portfolio,546021452.7041568,122157289.30962035,58664509.69643288,187031972.56734833,OK,STATE_MIN_20_PT,69924480.44250634
